Class, WMC, DIT, NOC, CBO, RFC, LCOM, DAC, MPC, NOM, SIZE1, SIZE2
org.junit.internal.runners.model.org.junit.internal.runners.model.ReflectiveCallable, 4, 1, 0, 4, 6, 0, 0, 3, 2, 10, 3
org.junit.runners.org.junit.runners.Suite, 19, 3, 3, 12, 30, 0, 0, 21, 3, 99, 13
org.junit.runner.org.junit.runner.RunWith, 1, 1, 0, 3, 1, 0, 0, 0, 1, 0, 1
junit.framework.junit.framework.TestCase, 60, 2, 0, 12, 112, 0, 0, 79, 47, 327, 52
org.junit.internal.builders.org.junit.internal.builders.IgnoredClassRunner, 3, 2, 0, 6, 7, 0, 0, 4, 3, 16, 4
junit.framework.junit.framework.TestListener, 4, 1, 0, 5, 4, 0, 0, 0, 4, 0, 4
org.junit.runner.org.junit.runner.JUnitCommandLineParseResult, 22, 1, 0, 12, 46, 0, 0, 60, 4, 278, 14
org.junit.runner.notification.org.junit.runner.notification.Failure, 7, 1, 0, 8, 19, 0, 0, 16, 7, 56, 10
org.junit.rules.org.junit.rules.Stopwatch, 16, 1, 0, 9, 25, 1, 0, 14, 3, 84, 17
org.junit.runners.model.org.junit.runners.model.InitializationError, 4, 3, 0, 6, 9, 0, 0, 5, 4, 28, 6
org.junit.experimental.org.junit.experimental.ParallelComputer, 11, 2, 0, 8, 13, 0, 0, 9, 4, 60, 8
junit.runner.junit.runner.TestRunListener, 6, 1, 0, 3, 6, 0, 0, 0, 6, 2, 8
junit.framework.junit.framework.AssertionFailedError, 4, 4, 1, 3, 6, 0, 0, 3, 2, 15, 4
org.junit.internal.builders.org.junit.internal.builders.JUnit3Builder, 5, 2, 0, 6, 7, 0, 0, 4, 2, 18, 3
org.junit.runner.org.junit.runner.FilterFactories, 12, 1, 0, 11, 21, 0, 0, 18, 3, 84, 6
org.junit.internal.org.junit.internal.InexactComparisonCriteria, 4, 2, 0, 3, 10, 0, 0, 12, 2, 42, 4
org.junit.org.junit.ClassRule, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0
org.junit.experimental.theories.org.junit.experimental.theories.FromDataPoints, 1, 1, 0, 3, 1, 0, 0, 0, 1, 0, 1
org.junit.internal.requests.org.junit.internal.requests.SortingRequest, 2, 2, 0, 5, 6, 0, 1, 4, 2, 24, 4
